building_id,name,lat,lng
1008_s_4th,1008 S 4th,40.1061066,-88.2330165
102_e_gregory,102 E. Gregory,40.1042487,-88.2381246
103_s_gregory_st,103 S Gregory St,40.1118344,-88.2209655
1103_euclid_apartments,1103 Euclid Apartments,40.1048418,-88.2348837
307_e_armory_apartments,307 E. Armory Apartments,40.1051456,-88.2347081
309_green,309 Green,40.1099827,-88.2343444
401_hardwick_apartments,401 Hardwick Apartments,40.11604,-88.2331607
407_hardwick_apartments,407 Hardwick Apartments,40.1160655,-88.2324859
710_mart,710 Mart,40.1065548,-88.2236223
75_armory,75 Armory,40.1050232,-88.2390419
901_western,901 Western,40.1119409,-88.2199823
a_c_center,A/C Center,40.1095972,-88.2229239
at_t,AT&T,40.1150546,-88.2440498
at_t_546416067,AT&T,40.1138283,-88.244816
at_t_556871048,AT&T,40.1095648,-88.233126
activities_and_recreation_center,Activities and Recreation Center,40.100781,-88.2360495
admissions_and_records_building,Admissions and Records Building,40.1083819,-88.2206763
advanced_computation_building,Advanced Computation Building,40.1124826,-88.2219946
advanced_medical_transport,Advanced Medical Transport,40.1118663,-88.2431503
agricultural_bioprocess_laboratory,Agricultural Bioprocess Laboratory,40.101159,-88.2255593
agricultural_engineering_sciences,Agricultural Engineering Sciences,40.1016375,-88.2263437
alice_campbell_alumni_center,Alice Campbell Alumni Center,40.1079889,-88.2199115
allen_hall,Allen Hall,40.1041266,-88.2207719
alpha_chi_omega,Alpha Chi Omega,40.1051702,-88.2186833
alpha_chi_sigma_fraternity_house,Alpha Chi Sigma Fraternity House,40.1039964,-88.2151802
alpha_delta_phi,Alpha Delta Phi,40.1075565,-88.2330796
alpha_delta_pi,Alpha Delta Pi,40.1062596,-88.2241096
alpha_epsilon_phi,Alpha Epsilon Phi,40.107647,-88.2350872
alpha_epsilon_pi,Alpha Epsilon Pi,40.1067686,-88.2376346
alpha_epsilon_pi_senior_apartment,Alpha Epsilon Pi Senior Apartment,40.1138463,-88.2318279
alpha_gamma_delta_fraternity_house,Alpha Gamma Delta Fraternity House,40.1031847,-88.2188177
alpha_gamma_rho,Alpha Gamma Rho,40.1043501,-88.2391767
alpha_omicron_pi,Alpha Omicron Pi,40.1063934,-88.2251213
alpha_phi,Alpha Phi,40.1057347,-88.2310502
alpha_rho_chi,Alpha Rho Chi,40.1046022,-88.2383076
alpha_sigma_phi_fraternity,Alpha Sigma Phi Fraternity,40.1051165,-88.2358804
alpha_tau_omega,Alpha Tau Omega,40.1000906,-88.2224725
alpha_xi_delta,Alpha Xi Delta,40.1062204,-88.233883
alpha_xi_delta_sorority_house,Alpha Xi Delta Sorority House,40.1015054,-88.2171826
altgeld_hall,Altgeld Hall,40.1093159,-88.22839
american_football_house,American Football House,40.1099705,-88.2165685
american_indian_studies,American Indian Studies,40.1062037,-88.2243116
amvets_post_3,Amvets Post 3,40.1189219,-88.2458448
amy_s_place,Amy’s Place,40.1170395,-88.2384507
animal_sciences_laboratory,Animal Sciences Laboratory,40.1038249,-88.2251424
anytime_fitness,Anytime Fitness,40.1084094,-88.2443164
arbor_apartments,Arbor Apartments,40.1042894,-88.2373415
arbor_apartments_cedar,Arbor Apartments: Cedar,40.1042908,-88.2362973
arbor_apartments_linden,Arbor Apartments: Linden,40.1042946,-88.2360662
arbor_apartments_maple,Arbor Apartments: Maple,40.1042927,-88.2358344
arbor_apartments_pine,Arbor Apartments: Pine,40.104457,-88.2362172
arbor_apartments_sycamore,Arbor Apartments: Sycamore,40.1044589,-88.2359845
arbor_apartments_walnut,Arbor Apartments: Walnut,40.1045862,-88.2358311
architecture_building,Architecture Building,40.1033588,-88.2290851
archives_and_special_collections_facility,Archives and Special Collections Facility,40.1047106,-88.2271691
area_wide_reporting_service,Area Wide Reporting Service,40.1141876,-88.2470315
armory,Armory,40.1047619,-88.231952
armory_avenue_warehouse,Armory Avenue Warehouse,40.1058648,-88.2422717
armory_house_main,Armory House Main,40.1056349,-88.2367343
armory_house_suites,Armory House Suites,40.1058921,-88.2367173
art_annex_studio_1,Art Annex Studio 1,40.1018508,-88.2252763
art_annex_studio_2,Art Annex Studio 2,40.1020668,-88.224824
art_and_design,Art and Design,40.102017,-88.2319229
asian_american_cultural_center,Asian American Cultural Center,40.1063214,-88.2247773
asian_american_studies,Asian American Studies,40.1061526,-88.2247692
astor_place,Astor Place,40.110383,-88.2151965
astronomy_building,Astronomy Building,40.1109241,-88.2208777
athletico_physical_therapy,Athletico Physical Therapy,40.0967423,-88.2445894
atkins_tennis_center,Atkins Tennis Center,40.0963504,-88.2273543
autozone,AutoZone,40.1160519,-88.2340721
avionics,Avionics,40.1151976,-88.2385343
babcock_hall,Babcock Hall,40.0997172,-88.2209584
bacon_van_buskirk_glass_co,Bacon & Van Buskirk Glass Co.,40.1065381,-88.24395
bankier_apartments,Bankier Apartments,40.1105628,-88.2323722
bankier_apartments_556585157,Bankier Apartments,40.1104422,-88.232904
barbara_s_alterations,Barbara's Alterations,40.1155177,-88.2393161
barrelhouse_34,Barrelhouse 34,40.1174812,-88.2420065
barton_hall,Barton Hall,40.1032417,-88.2340426
beckman_institute,Beckman Institute,40.1157003,-88.2275303
beta_sigma_psi_fraternity_house,Beta Sigma Psi Fraternity House,40.1039679,-88.2163465
bethel_african_methodist_episcopal_church,Bethel African Methodist Episcopal Church,40.1170864,-88.2333558
bevier_hall,Bevier Hall,40.104791,-88.224418
bielfeldt_athletic_administration_building,Bielfeldt Athletic Administration Building,40.0961597,-88.2321546
black_dog_smoke_ale_house,Black Dog Smoke & Ale House,40.1179415,-88.2402615
blaisdell_hall,Blaisdell Hall,40.1002915,-88.2197967
blue_ethiopian_cuisine_cafe,Blue Ethiopian Cuisine & Cafe,40.1170415,-88.2426133
boardwalk_501,Boardwalk 501,40.111155,-88.2318509
boardwalk_505,Boardwalk 505,40.1111607,-88.2313565
bombay_market,Bombay Market,40.1165884,-88.2373814
boneyard_boulders,Boneyard Boulders,40.1160525,-88.2377967
bousfield_hall,Bousfield Hall,40.1019996,-88.2377743
brainstorm_escapes,Brainstorm Escapes,40.1160818,-88.239722
bread_company,Bread Company,40.1066842,-88.2236243
bromley_hall,Bromley Hall,40.1070572,-88.2349722
bruce_d_nesbitt_african_american_cultural_center,Bruce D. Nesbitt African American Cultural Center,40.1061332,-88.2251557
burger_king,Burger King,40.1166527,-88.2231918
burnham_310,Burnham 310,40.1130241,-88.234747
burrill_hall,Burrill Hall,40.1092941,-88.2248799
busey_bank,Busey Bank,40.1165461,-88.2447178
